Job ID,Job Title,Company Name,Job Location,Job Type,Salary Range,Experience Required,Posted Date,Application Deadline,Job Portal,Number of Applicants,Education Requirement,Skills Required,Remote/Onsite,Company Size
JOB1,Software Engineer,Amazon,Ahmedabad,Full-time,5-8 LPA,2-5 years,2025-01-16,2025-01-25,LinkedIn,23,PhD,"C++, SQL, Python",Remote,Small (1-50)
JOB2,Marketing Executive,Infosys,Ahmedabad,Internship,5-8 LPA,2-5 years,2024-12-25,2025-01-19,Indeed,462,MBA,"SQL, C++, Python",Remote,Large (500+)
JOB3,Financial Analyst,Deloitte,Jaipur,Contract,20+ LPA,5-10 years,2025-01-22,2025-01-29,Naukri.com,430,M.Tech,"Machine Learning, Excel, React",Remote,Large (500+)
JOB4,Business Analyst,Amazon,Delhi,Full-time,20+ LPA,2-5 years,2025-01-07,2025-02-06,LinkedIn,387,B.Tech,"Machine Learning, Python, SQL",Hybrid,Small (1-50)
JOB5,Software Engineer,Infosys,Delhi,Full-time,12-20 LPA,10+ years,2024-12-26,2025-01-08,Indeed,199,MBA,"UI/UX, C++, Java",Onsite,Small (1-50)
JOB6,Data Scientist,Wipro,Pune,Internship,5-8 LPA,5-10 years,2024-12-27,2025-01-09,Indeed,281,B.Sc,"SQL, React, C++",Remote,Large (500+)
JOB7,Software Engineer,Accenture,Noida,Full-time,5-8 LPA,5-10 years,2024-12-30,2025-01-13,LinkedIn,489,B.Tech,"SQL, Python, C++",Hybrid,Large (500+)
JOB8,Data Scientist,Wipro,Mumbai,Contract,5-8 LPA,0-2 years,2025-01-10,2025-01-30,Naukri.com,350,B.Tech,"React, Digital Marketing, Machine Learning",Onsite,Medium (51-500)
JOB9,Marketing Executive,HCL,Ahmedabad,Part-time,5-8 LPA,5-10 years,2025-01-21,2025-02-16,Naukri.com,323,B.Tech,"Java, Python, Excel",Onsite,Medium (51-500)
JOB10,Financial Analyst,Microsoft,Pune,Internship,12-20 LPA,5-10 years,2025-01-06,2025-01-22,Indeed,469,B.Tech,"SQL, React, C++",Remote,Large (500+)
JOB11,Sales Representative,Amazon,Mumbai,Part-time,5-8 LPA,5-10 years,2024-12-30,2025-01-25,LinkedIn,30,MBA,"UI/UX, C++, React",Onsite,Small (1-50)
JOB12,Financial Analyst,HCL,Hyderabad,Contract,5-8 LPA,5-10 years,2025-01-20,2025-02-03,Naukri.com,260,B.Tech,"UI/UX, Excel, Digital Marketing",Hybrid,Large (500+)
JOB13,Product Manager,Google,Noida,Part-time,20+ LPA,2-5 years,2025-01-01,2025-01-16,Indeed,487,B.Tech,"React, Machine Learning, SQL",Hybrid,Small (1-50)
JOB14,Financial Analyst,Microsoft,Noida,Part-time,3-5 LPA,2-5 years,2025-01-12,2025-02-07,LinkedIn,80,M.Tech,"Python, Excel, Digital Marketing",Onsite,Large (500+)
JOB15,Financial Analyst,Wipro,Delhi,Contract,5-8 LPA,2-5 years,2024-12-23,2025-01-12,Naukri.com,14,B.Sc,"C++, Java, Python",Hybrid,Large (500+)
JOB16,Sales Representative,Deloitte,Delhi,Contract,20+ LPA,2-5 years,2025-01-17,2025-01-27,Naukri.com,422,PhD,"Java, Excel, Machine Learning",Hybrid,Small (1-50)
JOB17,HR Manager,Wipro,Kolkata,Part-time,12-20 LPA,5-10 years,2025-01-16,2025-02-05,Naukri.com,360,B.Tech,"Java, UI/UX, Machine Learning",Onsite,Small (1-50)
JOB18,Cyber Security Analyst,Infosys,Pune,Contract,20+ LPA,10+ years,2025-01-14,2025-01-29,LinkedIn,271,B.Sc,"Excel, Digital Marketing, Python",Remote,Small (1-50)
JOB19,Cyber Security Analyst,IBM,Bangalore,Part-time,12-20 LPA,10+ years,2024-12-23,2024-12-30,LinkedIn,113,B.Tech,"Digital Marketing, Machine Learning, SQL",Hybrid,Medium (51-500)
JOB20,Cyber Security Analyst,HCL,Pune,Part-time,20+ LPA,0-2 years,2025-01-22,2025-02-03,Naukri.com,350,M.Tech,"Java, AWS, React",Remote,Large (500+)
JOB21,Data Scientist,Deloitte,Hyderabad,Part-time,12-20 LPA,2-5 years,2024-12-25,2025-01-22,LinkedIn,232,M.Tech,"SQL, Machine Learning, Python",Hybrid,Medium (51-500)
JOB22,Graphic Designer,HCL,Kolkata,Part-time,20+ LPA,2-5 years,2025-01-20,2025-02-03,Naukri.com,180,PhD,"Excel, UI/UX, React",Remote,Small (1-50)
JOB23,Product Manager,TCS,Pune,Contract,20+ LPA,2-5 years,2025-01-08,2025-02-03,Naukri.com,76,B.Sc,"Python, UI/UX, Digital Marketing",Remote,Medium (51-500)
JOB24,Cyber Security Analyst,IBM,Jaipur,Part-time,8-12 LPA,2-5 years,2025-01-09,2025-02-03,LinkedIn,262,B.Sc,"AWS, Excel, UI/UX",Onsite,Medium (51-500)
JOB25,Software Engineer,Microsoft,Pune,Internship,5-8 LPA,5-10 years,2024-12-28,2025-01-27,Indeed,24,B.Sc,"AWS, Java, React",Onsite,Large (500+)
JOB26,Cyber Security Analyst,Microsoft,Delhi,Full-time,12-20 LPA,0-2 years,2025-01-09,2025-02-07,LinkedIn,133,B.Tech,"UI/UX, Java, C++",Remote,Medium (51-500)
JOB27,Product Manager,Amazon,Ahmedabad,Part-time,12-20 LPA,10+ years,2025-01-16,2025-01-25,Indeed,424,PhD,"Excel, UI/UX, React",Onsite,Medium (51-500)
JOB28,Data Scientist,Google,Jaipur,Full-time,5-8 LPA,5-10 years,2025-01-15,2025-01-27,Indeed,288,B.Tech,"Java, AWS, C++",Onsite,Medium (51-500)
JOB29,Financial Analyst,Infosys,Pune,Contract,12-20 LPA,5-10 years,2025-01-01,2025-01-09,Indeed,221,B.Tech,"SQL, Digital Marketing, Machine Learning",Onsite,Small (1-50)
JOB30,Cyber Security Analyst,IBM,Ahmedabad,Internship,20+ LPA,5-10 years,2025-01-20,2025-02-12,LinkedIn,251,M.Tech,"Machine Learning, C++, Python",Onsite,Small (1-50)
JOB31,HR Manager,Amazon,Delhi,Contract,8-12 LPA,5-10 years,2024-12-23,2025-01-07,Indeed,449,MBA,"React, C++, Machine Learning",Onsite,Small (1-50)
JOB32,Financial Analyst,Infosys,Delhi,Contract,8-12 LPA,0-2 years,2025-01-14,2025-01-29,Naukri.com,337,MBA,"UI/UX, Java, Machine Learning",Onsite,Large (500+)
JOB33,HR Manager,Wipro,Bangalore,Full-time,3-5 LPA,0-2 years,2025-01-13,2025-02-11,Naukri.com,220,MBA,"UI/UX, Python, SQL",Onsite,Small (1-50)
JOB34,Graphic Designer,TCS,Chennai,Part-time,5-8 LPA,10+ years,2025-01-07,2025-01-16,Naukri.com,406,M.Tech,"React, Java, Excel",Hybrid,Large (500+)
JOB35,Financial Analyst,Amazon,Hyderabad,Internship,20+ LPA,0-2 years,2024-12-29,2025-01-07,LinkedIn,114,B.Sc,"Digital Marketing, Python, SQL",Remote,Small (1-50)
JOB36,Marketing Executive,HCL,Ahmedabad,Contract,20+ LPA,5-10 years,2024-12-29,2025-01-14,LinkedIn,208,B.Tech,"UI/UX, AWS, SQL",Onsite,Medium (51-500)
JOB37,Cyber Security Analyst,Amazon,Noida,Contract,8-12 LPA,5-10 years,2024-12-31,2025-01-22,Indeed,214,B.Tech,"React, Java, Excel",Onsite,Large (500+)
JOB38,Product Manager,Deloitte,Delhi,Part-time,3-5 LPA,10+ years,2025-01-05,2025-01-21,Indeed,300,B.Sc,"SQL, Excel, AWS",Hybrid,Medium (51-500)
JOB39,Financial Analyst,HCL,Delhi,Internship,5-8 LPA,0-2 years,2025-01-04,2025-01-17,Naukri.com,196,PhD,"Java, SQL, Python",Remote,Large (500+)
JOB40,Financial Analyst,Google,Noida,Part-time,20+ LPA,2-5 years,2024-12-24,2025-01-19,LinkedIn,278,B.Tech,"Excel, Machine Learning, UI/UX",Hybrid,Small (1-50)
JOB41,Graphic Designer,Wipro,Hyderabad,Full-time,12-20 LPA,0-2 years,2025-01-18,2025-02-17,Naukri.com,391,B.Sc,"Java, SQL, Digital Marketing",Hybrid,Large (500+)
JOB42,Graphic Designer,Deloitte,Jaipur,Part-time,12-20 LPA,10+ years,2024-12-29,2025-01-11,Naukri.com,487,B.Sc,"Machine Learning, Digital Marketing, SQL",Hybrid,Medium (51-500)
JOB43,Software Engineer,IBM,Mumbai,Internship,20+ LPA,0-2 years,2024-12-23,2025-01-08,LinkedIn,129,B.Sc,"Java, UI/UX, React",Hybrid,Medium (51-500)
JOB44,Financial Analyst,TCS,Ahmedabad,Internship,3-5 LPA,10+ years,2024-12-31,2025-01-08,Naukri.com,429,B.Tech,"Python, AWS, UI/UX",Onsite,Large (500+)
JOB45,Software Engineer,Microsoft,Hyderabad,Part-time,20+ LPA,10+ years,2025-01-04,2025-01-14,Indeed,319,M.Tech,"Machine Learning, SQL, C++",Onsite,Large (500+)
JOB46,Product Manager,IBM,Ahmedabad,Internship,8-12 LPA,2-5 years,2024-12-30,2025-01-20,Indeed,158,B.Tech,"Python, React, UI/UX",Onsite,Small (1-50)
JOB47,Cyber Security Analyst,Infosys,Kolkata,Internship,8-12 LPA,10+ years,2024-12-29,2025-01-21,Naukri.com,139,PhD,"Machine Learning, AWS, React",Onsite,Large (500+)
